marque,modele,finition,annee,nb_occurrences
Peugeot,Peugeot 208,1.2 PureTech Allure EAT6,2018,1
Peugeot,Peugeot 208,1.2 PureTech Allure EAT8,2019,1
Peugeot,Peugeot 208,1.2 PureTech Allure EAT8,2022,1
Peugeot,Peugeot 208,1.2 PureTech Allure Pack,2021,1
Peugeot,Peugeot 208,1.2 PureTech Allure Pack EAT8,2021,2
Peugeot,Peugeot 208,1.2 PureTech Allure Pack EAT8,2022,1
Peugeot,Peugeot 208,1.2 PureTech Allure Pack EAT8,2023,2
Peugeot,Peugeot 208,1.2 PureTech Feline,2017,2
Peugeot,Peugeot 208,1.2 PureTech GT,2022,2
Peugeot,Peugeot 208,1.2 PureTech GT,2024,1
Peugeot,Peugeot 208,1.2 PureTech GT EAT8,2021,2
Peugeot,Peugeot 208,1.2 PureTech GT EAT8,2022,1
Peugeot,Peugeot 208,1.2 PureTech GT EAT8,2023,3
Peugeot,Peugeot 208,1.2 PureTech GT Line,2017,2
Peugeot,Peugeot 208,1.2 PureTech GT Line,2018,1
Peugeot,Peugeot 208,1.2 PureTech GT Line,2019,1
Peugeot,Peugeot 208,1.2 PureTech GT Line EAT6,2018,2
Peugeot,Peugeot 208,1.2 PureTech GT Line EAT8,2019,1
Peugeot,Peugeot 208,1.2 PureTech GT Line EAT8,2020,5
Peugeot,Peugeot 208,1.2 PureTech GT Pack EAT8,2021,1
Peugeot,Peugeot 208,1.2 PureTech GT Pack EAT8,2022,5
Peugeot,Peugeot 208,1.2 PureTech Like,2019,1
Peugeot,Peugeot 208,1.2 PureTech Like,2021,1
Peugeot,Peugeot 208,1.2 PureTech Like,2022,4
Peugeot,Peugeot 208,1.2 PureTech Signature,2018,2
Peugeot,Peugeot 208,1.2 PureTech Signature,2019,1
Peugeot,Peugeot 208,1.2 PureTech Style,2017,4
Peugeot,Peugeot 208,1.2 PureTech Style,2018,1
Peugeot,Peugeot 208,1.2 PureTech Style,2021,1
Peugeot,Peugeot 208,1.2 PureTech Style,2022,4
Peugeot,Peugeot 208,1.2 PureTech Tech Edition EAT6,2019,1
Peugeot,Peugeot 208,1.5 Blue-HDi Allure,2019,1
Peugeot,Peugeot 208,1.5 Blue-HDi Allure Pack,2022,1
Peugeot,Peugeot 208,1.5 Blue-HDi GT,2021,1
Peugeot,Peugeot 208,1.5 Blue-HDi GT Line,2019,1
Peugeot,Peugeot 208,1.5 Blue-HDi Signature,2019,2
Peugeot,Peugeot 3008,1.2 PureTech Active Business EAT8,2019,1
Peugeot,Peugeot 3008,1.2 PureTech Active EAT8,2020,1
Peugeot,Peugeot 3008,1.2 PureTech Allure,2019,3
Peugeot,Peugeot 3008,1.2 PureTech Allure Business EAT8,2018,1
Peugeot,Peugeot 3008,1.2 PureTech Allure Business EAT8,2019,1
Peugeot,Peugeot 3008,1.2 PureTech Allure EAT6,2017,2
Peugeot,Peugeot 3008,1.2 PureTech Allure EAT8,2019,8
Peugeot,Peugeot 3008,1.2 PureTech Allure EAT8,2020,2
Peugeot,Peugeot 3008,1.2 PureTech Allure Pack,2021,1
Peugeot,Peugeot 3008,1.2 PureTech Allure Pack,2023,1
Peugeot,Peugeot 3008,1.2 PureTech Allure Pack EAT8,2021,1
Peugeot,Peugeot 3008,1.2 PureTech Allure Pack EAT8,2023,1
Peugeot,Peugeot 3008,1.2 PureTech Allure Pack EAT8,2024,1
Peugeot,Peugeot 3008,1.2 PureTech GT,2023,1
Peugeot,Peugeot 3008,1.2 PureTech GT EAT8,2020,1
Peugeot,Peugeot 3008,1.2 PureTech GT EAT8,2021,1
Peugeot,Peugeot 3008,1.2 PureTech GT EAT8,2023,1
Peugeot,Peugeot 3008,1.2 PureTech GT Line,2017,3
Peugeot,Peugeot 3008,1.2 PureTech GT Line,2018,2
Peugeot,Peugeot 3008,1.2 PureTech GT Line,2019,1
Peugeot,Peugeot 3008,1.2 PureTech GT Line EAT6,2017,3
Peugeot,Peugeot 3008,1.2 PureTech GT Line EAT8,2019,1
Peugeot,Peugeot 3008,1.2 PureTech GT Line EAT8,2020,3
Peugeot,Peugeot 3008,1.2 PureTech GT Pack EAT8,2021,1
Peugeot,Peugeot 3008,1.5 Blue-HDi Active Business EAT8,2018,2
Peugeot,Peugeot 3008,1.5 Blue-HDi Active Pack EAT8,2021,1
Peugeot,Peugeot 3008,1.5 Blue-HDi Allure Business EAT8,2019,1
Peugeot,Peugeot 3008,1.5 Blue-HDi Allure Business EAT8,2020,1
Peugeot,Peugeot 3008,1.5 Blue-HDi Allure Pack,2021,1
Peugeot,Peugeot 3008,1.5 Blue-HDi Allure Pack,2022,2
Peugeot,Peugeot 3008,1.5 Blue-HDi Allure Pack EAT8,2022,4
Peugeot,Peugeot 3008,1.5 Blue-HDi Allure Pack EAT8,2023,4
Peugeot,Peugeot 3008,1.5 Blue-HDi Crossway EAT8,2019,1
Peugeot,Peugeot 3008,1.5 Blue-HDi GT EAT8,2021,3
Peugeot,Peugeot 3008,1.5 Blue-HDi GT Line EAT8,2018,1
Peugeot,Peugeot 3008,1.5 Blue-HDi GT Line EAT8,2019,1
Peugeot,Peugeot 3008,1.5 Blue-HDi GT Line EAT8,2020,3
Peugeot,Peugeot 3008,1.6 Blue-HDi Active Business,2017,2
Peugeot,Peugeot 3008,1.6 Blue-HDi Allure Business EAT6,2017,1
Peugeot,Peugeot 3008,1.6 Blue-HDi Allure EAT6,2017,2
Peugeot,Peugeot 3008,1.6 Hybrid Allure Pack e-EAT8,2021,1
Peugeot,Peugeot 3008,1.6 Hybrid Allure Pack e-EAT8,2022,1
Peugeot,Peugeot 3008,1.6 Hybrid4 GT Pack e-EAT8,2021,1
Peugeot,Peugeot 3008,1.6 Hybrid4 GT Pack e-EAT8,2022,1
Peugeot,Peugeot 3008,1.6 PureTech GT Line EAT8,2019,3
Peugeot,Peugeot 3008,1.6 THP Allure EAT6,2017,1
Peugeot,Peugeot 3008,2.0 Blue-HDi GT EAT8,2020,1
Peugeot,Peugeot 3008,2.0 Blue-HDi GT Line EAT8,2018,1
Peugeot,Peugeot 308,1.2 PureTech Active,2017,1
Peugeot,Peugeot 308,1.2 PureTech Active,2020,1
Peugeot,Peugeot 308,1.2 PureTech Active Pack,2020,1
Peugeot,Peugeot 308,1.2 PureTech Allure,2017,4
Peugeot,Peugeot 308,1.2 PureTech Allure,2018,3
Peugeot,Peugeot 308,1.2 PureTech Allure,2020,1
Peugeot,Peugeot 308,1.2 PureTech Allure Business EAT8,2019,1
Peugeot,Peugeot 308,1.2 PureTech Allure EAT8,2019,1
Peugeot,Peugeot 308,1.2 PureTech Allure Pack,2022,1
Peugeot,Peugeot 308,1.2 PureTech Allure Pack EAT8,2021,1
Peugeot,Peugeot 308,1.2 PureTech Allure Pack EAT8,2022,1
Peugeot,Peugeot 308,1.2 PureTech Feline EAT6,2017,1
Peugeot,Peugeot 308,1.2 PureTech GT EAT8,2022,4
Peugeot,Peugeot 308,1.2 PureTech GT EAT8,2023,2
Peugeot,Peugeot 308,1.2 PureTech GT Line,2017,1
Peugeot,Peugeot 308,1.2 PureTech GT Line,2020,1
Peugeot,Peugeot 308,1.2 PureTech GT Line EAT8,2019,1
Peugeot,Peugeot 308,1.2 PureTech Style,2017,1
Peugeot,Peugeot 308,1.2 PureTech Style,2019,1
Peugeot,Peugeot 308,1.2 PureTech Style,2020,3
Peugeot,Peugeot 308,1.2 PureTech Style EAT8,2019,1
Peugeot,Peugeot 308,1.2 PureTech Tech Edition EAT8,2019,2
Peugeot,Peugeot 308,1.5 Blue-HDi Active Business,2019,1
Peugeot,Peugeot 308,1.5 Blue-HDi Active Business EAT8,2020,2
Peugeot,Peugeot 308,1.5 Blue-HDi Allure Business EAT8,2018,1
Peugeot,Peugeot 308,1.5 Blue-HDi GT Line,2019,1
Peugeot,Peugeot 308,1.5 Blue-HDi GT Line EAT8,2020,2
Peugeot,Peugeot 308,1.5 Blue-HDi GT Pack EAT8,2021,1
Peugeot,Peugeot 308,1.5 Blue-HDi Roadtrip EAT8,2021,2
Peugeot,Peugeot 308,1.5 Blue-HDi Style,2019,2
Peugeot,Peugeot 308,1.6 Blue-HDi Allure EAT6,2017,2
Peugeot,Peugeot 308,1.6 PHEV GT e-EAT8,2022,1
Peugeot,Peugeot 308,1.6 PHEV GT e-EAT8,2023,1
Peugeot,Peugeot 308,1.6 THP GTi,2017,1
Peugeot,Peugeot 308,1.6 THP GTi,2018,1
Peugeot,Peugeot 308,1.6 e-HDi GT Line EAT6,2018,2
Peugeot,Peugeot 308,2.0 Blue-HDi GT EAT8,2018,1
Peugeot,Peugeot 308,SW 1.2 PureTech GT Pack,2020,1
Peugeot,Peugeot 308,SW 1.5 Blue-HDi Active Business EAT8,2021,2
Peugeot,Peugeot 308,SW 1.5 Blue-HDi GT Pack EAT8,2021,1
Peugeot,Peugeot 308,SW 1.5 Blue-HDi Roadtrip EAT8,2021,2
Peugeot,Peugeot 408,1.2 Hybrid GT e-DCS6,2024,2
Peugeot,Peugeot 408,1.2 PureTech Allure Pack EAT8,2022,1
Peugeot,Peugeot 408,1.6 PHEV Allure Pack e-EAT8,2023,1
Peugeot,Peugeot 5008,1.2 PureTech Allure,2019,1
Peugeot,Peugeot 5008,1.2 PureTech Allure Business EAT8,2019,1
Peugeot,Peugeot 5008,1.2 PureTech Allure EAT8,2018,1
Peugeot,Peugeot 5008,1.2 PureTech Allure EAT8,2019,4
Peugeot,Peugeot 5008,1.2 PureTech Allure Pack,2021,1
Peugeot,Peugeot 5008,1.2 PureTech Allure Pack EAT8,2021,1
Peugeot,Peugeot 5008,1.2 PureTech Allure Pack EAT8,2023,1
Peugeot,Peugeot 5008,1.2 PureTech GT EAT8,2021,2
Peugeot,Peugeot 5008,1.2 PureTech GT EAT8,2023,1
Peugeot,Peugeot 5008,1.5 Blue-HDi Allure EAT8,2018,1
Peugeot,Peugeot 5008,1.5 Blue-HDi Allure Pack EAT8,2022,1
Peugeot,Peugeot 5008,1.5 Blue-HDi GT,2021,1
Peugeot,Peugeot 5008,1.5 Blue-HDi GT EAT8,2021,2
Peugeot,Peugeot 5008,1.5 Blue-HDi GT Line EAT8,2018,1
Peugeot,Peugeot 508,1.5 Blue-HDi GT EAT8,2022,1
Peugeot,Peugeot 508,1.6 PureTech Allure EAT8,2019,1
Peugeot,Peugeot 508,1.6 PureTech GT EAT8,2021,1
Peugeot,Peugeot 508,2.0 Blue-HDi Feline EAT6,2017,1
Peugeot,Peugeot 508,2.0 Blue-HDi GT Line EAT8,2020,1
Peugeot,Peugeot 508,SW 1.5 Blue-HDi Allure Pack EAT8,2022,1
Peugeot,Peugeot 508,SW 1.5 Blue-HDi GT EAT8,2021,1
Peugeot,Peugeot 508,SW 1.6 Hybrid GT e-EAT8,2020,1
Peugeot,Peugeot 508,SW 1.6 PureTech GT Line EAT8,2019,1
Peugeot,Peugeot Expert,Combi 1.5 Blue-HDi Long,2020,1
Peugeot,Peugeot Rifter,1.2 PureTech Allure,2019,2
Peugeot,Peugeot Rifter,1.2 PureTech GT Line EAT8,2020,1
Peugeot,Peugeot Rifter,1.5 Blue-HDi Active,2018,1
Peugeot,Peugeot Rifter,1.5 Blue-HDi GT Line EAT8,2019,1
Peugeot,Peugeot Rifter,1.5 Blue-HDi GT Line EAT8,2020,1
Peugeot,Peugeot Rifter,Long 1.5 Blue-HDi Allure Pack,2022,2
Renault,Renault Arkana,1.3 TCe Intens EDC,2021,3
Renault,Renault Arkana,1.3 TCe RS Line EDC,2022,2
Renault,Renault Arkana,1.3 TCe RS Line EDC,2023,1
Renault,Renault Arkana,1.3 TCe Techno EDC,2023,1
Renault,Renault Arkana,1.3 TCe Zen EDC,2022,1
Renault,Renault Arkana,1.6 E-Tech Business,2022,1
Renault,Renault Arkana,1.6 E-Tech Engineered,2022,1
Renault,Renault Arkana,1.6 E-Tech Engineered,2023,1
Renault,Renault Arkana,1.6 E-Tech RS Line,2022,3
Renault,Renault Austral,1.2 Hybrid E-Tech Iconic,2023,1
Renault,Renault Captur,0.9 TCe Business,2019,1
Renault,Renault Captur,0.9 TCe Energy Business,2017,1
Renault,Renault Captur,0.9 TCe Energy Zen,2017,1
Renault,Renault Captur,0.9 TCe Intens,2018,3
Renault,Renault Captur,0.9 TCe Limited,2019,2
Renault,Renault Captur,1.0 TCe Business,2020,1
Renault,Renault Captur,1.0 TCe Intens,2020,1
Renault,Renault Captur,1.0 TCe Zen,2020,1
Renault,Renault Captur,1.2 TCe Energy Crossborder EDC,2018,1
Renault,Renault Captur,1.2 TCe Energy Initiale Paris EDC,2017,1
Renault,Renault Captur,1.2 TCe Energy Intens,2017,3
Renault,Renault Captur,1.2 TCe Energy Intens EDC,2017,1
Renault,Renault Captur,1.2 TCe Energy Intens EDC,2018,3
Renault,Renault Captur,1.3 TCe Collection,2019,1
Renault,Renault Captur,1.3 TCe Edition One EDC,2020,1
Renault,Renault Captur,1.3 TCe Energy S-Edition,2018,1
Renault,Renault Captur,1.3 TCe Initiale Paris EDC,2020,1
Renault,Renault Captur,1.3 TCe Initiale Paris EDC,2021,1
Renault,Renault Captur,1.3 TCe Intens,2019,2
Renault,Renault Captur,1.3 TCe Intens,2020,3
Renault,Renault Captur,1.3 TCe Intens,2021,2
Renault,Renault Captur,1.3 TCe Intens EDC,2019,1
Renault,Renault Captur,1.3 TCe Intens EDC,2021,2
Renault,Renault Captur,1.3 TCe Intens EDC,2022,3
Renault,Renault Captur,1.3 TCe Mild Hybrid Evolution EDC,2023,2
Renault,Renault Captur,1.3 TCe Mild Hybrid RS Line EDC,2023,2
Renault,Renault Captur,1.3 TCe RS Line,2022,1
Renault,Renault Captur,1.3 TCe RS Line EDC,2021,1
Renault,Renault Captur,1.5 Blue dCi Business,2020,1
Renault,Renault Captur,1.5 Blue dCi Intens,2020,3
Renault,Renault Captur,1.5 dCi Business,2019,1
Renault,Renault Captur,1.5 dCi Energy Business,2018,1
Renault,Renault Captur,1.5 dCi Energy Business EDC,2018,1
Renault,Renault Captur,1.5 dCi Energy Intens,2017,4
Renault,Renault Captur,1.5 dCi Energy Intens EDC,2018,1
Renault,Renault Captur,1.6 E-Tech Full Hybrid Rive Gauche,2022,1
Renault,Renault Captur,1.6 E-Tech Full Hybrid Techno Fast Track,2023,1
Renault,Renault Captur,1.6 E-Tech Intens,2022,1
Renault,Renault Clio,0.9 TCe Business,2019,5
Renault,Renault Clio,0.9 TCe Energy Intens,2018,2
Renault,Renault Clio,0.9 TCe Energy Limited,2017,1
Renault,Renault Clio,0.9 TCe Generation,2019,1
Renault,Renault Clio,0.9 TCe Intens,2018,3
Renault,Renault Clio,0.9 TCe Intens,2019,1
Renault,Renault Clio,0.9 TCe Limited,2018,2
Renault,Renault Clio,0.9 TCe Limited,2019,1
Renault,Renault Clio,0.9 TCe Trend,2018,1
Renault,Renault Clio,1.0 SCe Evolution,2023,3
Renault,Renault Clio,1.0 SCe Life,2020,1
Renault,Renault Clio,1.0 SCe Zen,2020,1
Renault,Renault Clio,1.0 TCe Business,2019,1
Renault,Renault Clio,1.0 TCe Business,2020,3
Renault,Renault Clio,1.0 TCe Business,2022,2
Renault,Renault Clio,1.0 TCe Equilibre,2023,1
Renault,Renault Clio,1.0 TCe Evolution,2022,1
Renault,Renault Clio,1.0 TCe Evolution,2023,1
Renault,Renault Clio,1.0 TCe Intens,2019,4
Renault,Renault Clio,1.0 TCe Intens,2020,3
Renault,Renault Clio,1.0 TCe Intens,2021,4
Renault,Renault Clio,1.0 TCe RS Line,2021,1
Renault,Renault Clio,1.0 TCe SL Limited,2021,4
Renault,Renault Clio,1.0 TCe SL Limited,2022,1
Renault,Renault Clio,1.0 TCe Zen,2019,7
Renault,Renault Clio,1.0 TCe Zen,2020,2
Renault,Renault Clio,1.2 TCe Energy Initiale Paris,2018,1
Renault,Renault Clio,1.3 TCe Initiale Paris EDC,2020,1
Renault,Renault Clio,1.3 TCe Intens,2022,1
Renault,Renault Clio,1.3 TCe Intens EDC,2019,2
Renault,Renault Clio,1.3 TCe Intens EDC,2020,1
Renault,Renault Clio,1.3 TCe RS Line,2021,3
Renault,Renault Clio,1.3 TCe RS Line,2022,2
Renault,Renault Clio,1.3 TCe RS Line EDC,2019,4
Renault,Renault Clio,1.3 TCe Techno,2023,1
Renault,Renault Clio,1.5 Blue dCi Edition One,2020,1
Renault,Renault Clio,1.5 Blue dCi Intens,2020,2
Renault,Renault Clio,1.5 Blue dCi Intens,2022,1
Renault,Renault Clio,1.5 Blue dCi RS Line,2019,1
Renault,Renault Clio,1.5 Blue dCi RS Line,2020,1
Renault,Renault Clio,1.5 Blue dCi Zen,2019,2
Renault,Renault Clio,1.5 dCi Business,2019,2
Renault,Renault Clio,1.5 dCi Duel,2018,1
Renault,Renault Clio,1.5 dCi Energy Business,2017,2
Renault,Renault Clio,1.5 dCi Energy Business,2018,2
Renault,Renault Clio,1.5 dCi Energy Limited,2018,2
Renault,Renault Clio,1.5 dCi Trend,2018,2
Renault,Renault Clio,1.5 dCi Trend,2019,2
Renault,Renault Clio,1.6 E-Tech Premiere Edition,2020,1
Renault,Renault Clio,1.6 E-Tech RS Line,2021,1
Renault,Renault Clio,Estate 0.9 TCe Limited,2019,1
Renault,Renault Clio,Estate 1.2 TCe Energy Intens,2018,1
Renault,Renault Clio,Estate 1.2 TCe Energy Intens EDC,2018,1
Renault,Renault Clio,Estate 1.2 TCe Energy Steel EDC,2018,1
Renault,Renault Espace,1.2 E-Tech Hybrid Techno,2023,1
Renault,Renault Espace,2.0 Blue dCi Initiale Paris EDC,2021,1
Renault,Renault Grand Scenic,1.3 TCe Bose Edition EDC,2019,2
Renault,Renault Grand Scenic,1.3 TCe Bose Edition EDC,2020,1
Renault,Renault Grand Scenic,1.3 TCe Business EDC,2019,1
Renault,Renault Grand Scenic,1.3 TCe Energy Intens EDC,2018,1
Renault,Renault Grand Scenic,1.3 TCe Intens,2021,4
Renault,Renault Grand Scenic,1.3 TCe Zen,2019,1
Renault,Renault Grand Scenic,1.5 dCi Energy Intens EDC,2017,2
Renault,Renault Grand Scenic,1.5 dCi Energy Life,2018,1
Renault,Renault Grand Scenic,1.6 dCi Energy Intens EDC,2017,1
Renault,Renault Grand Scenic,1.7 dCi Blue Business EDC,2019,1
Renault,Renault Grand Scenic,1.7 dCi Blue Business EDC,2020,1
Renault,Renault Grand Scenic,1.7 dCi Blue Initiale Paris,2019,1
Renault,Renault Kadjar,1.2 TCe Energy Collection,2017,2
Renault,Renault Kadjar,1.2 TCe Energy EDC,2018,1
Renault,Renault Kadjar,1.2 TCe Energy Graphite,2018,1
Renault,Renault Kadjar,1.2 TCe Energy Intens EDC,2018,2
Renault,Renault Kadjar,1.3 TCe Business,2021,1
Renault,Renault Kadjar,1.3 TCe Intens,2018,2
Renault,Renault Kadjar,1.3 TCe Intens,2019,1
Renault,Renault Kadjar,1.3 TCe Intens,2021,1
Renault,Renault Kadjar,1.3 TCe Intens EDC,2018,1
Renault,Renault Kadjar,1.3 TCe Intens EDC,2019,1
Renault,Renault Kadjar,1.5 Blue dCi,2020,2
Renault,Renault Kadjar,1.5 Blue dCi EDC,2020,1
Renault,Renault Kadjar,1.5 Blue dCi Limited Deluxe,2020,1
Renault,Renault Kadjar,1.5 dCi Blue Business,2019,2
Renault,Renault Kadjar,1.5 dCi Blue Business,2020,1
Renault,Renault Kadjar,1.5 dCi Blue Intens,2018,1
Renault,Renault Kadjar,1.5 dCi Blue Intens,2019,1
Renault,Renault Kadjar,1.5 dCi Blue Intens EDC,2020,2
Renault,Renault Kadjar,1.5 dCi Blue Intens EDC,2022,1
Renault,Renault Kadjar,1.5 dCi Blue SL Wave,2018,1
Renault,Renault Kadjar,1.5 dCi Energy Intens EDC,2017,1
Renault,Renault Kangoo,1.2 TCe Energy Zen,2018,1
Renault,Renault Kangoo,1.2 TCe Intens EDC,2017,2
Renault,Renault Koleos,1.3 TCe Executive EDC,2021,1
Renault,Renault Koleos,1.3 TCe Initiale Paris EDC,2020,1
Renault,Renault Mégane,1.2 TCe Akaju EDC,2017,1
Renault,Renault Mégane,1.2 TCe Energy Intens,2018,1
Renault,Renault Mégane,1.2 TCe Energy Intens EDC,2017,2
Renault,Renault Mégane,1.2 TCe Energy Limited EDC,2017,1
Renault,Renault Mégane,1.3 TCe GT-Line EDC,2019,2
Renault,Renault Mégane,1.3 TCe GT-Line EDC,2020,1
Renault,Renault Mégane,1.3 TCe Intens,2018,2
Renault,Renault Mégane,1.3 TCe Intens,2020,1
Renault,Renault Mégane,1.3 TCe Intens EDC,2021,2
Renault,Renault Mégane,1.3 TCe Limited Deluxe,2019,1
Renault,Renault Mégane,1.3 TCe RS Line,2020,1
Renault,Renault Mégane,1.3 TCe RS Line,2021,1
Renault,Renault Mégane,1.3 TCe RS Line EDC7,2022,1
Renault,Renault Mégane,1.5 Blue dCi Bose Edition EDC,2019,1
Renault,Renault Mégane,1.5 dCi Blue Business,2021,1
Renault,Renault Mégane,1.5 dCi Blue Business EDC,2020,1
Renault,Renault Mégane,1.5 dCi Blue Intens,2020,2
Renault,Renault Mégane,1.5 dCi Blue Intens,2021,1
Renault,Renault Mégane,1.5 dCi Blue Intens EDC,2019,1
Renault,Renault Mégane,1.5 dCi Blue Intens EDC,2020,1
Renault,Renault Mégane,1.5 dCi Blue Limited EDC,2021,2
Renault,Renault Mégane,1.5 dCi Energy Business EDC,2018,1
Renault,Renault Mégane,1.6 TCe Energy GT EDC7,2017,1
Renault,Renault Mégane,Estate 1.2 TCe Energy Business,2018,1
Renault,Renault Mégane,Estate 1.3 TCe Intens EDC,2019,2
Renault,Renault Mégane,Estate 1.5 dCi Blue Business,2020,1
Renault,Renault Mégane,Estate 1.5 dCi Blue Intens,2019,1
Renault,Renault Mégane,Estate 1.5 dCi Blue Intens EDC,2022,1
Renault,Renault Mégane,Estate 1.6 E-Tech Plug-in Hybride RS Line,2020,1
